director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,cast_total_facebook_likes,actor_2_facebook_likes,movie_facebook_likes,imdb_score
28,12,544,699,106,0,8.2
0,773,5000,9152,972,166000,7.9
357,4000,23000,45327,14000,14000,6.7
21000,919,11000,13333,1000,23000,7.8
905,1000,34000,50983,13000,54000,7.8
508,14000,34000,81385,22000,38000,6.6
226,370,12000,13388,418,11000,6.1
249,702,87000,92456,2000,0,5.6
33,11000,40000,80806,25000,30000,6.4
50,692,3000,4705,795,0,6.1
0,648,3000,5505,716,89000,7.3
230,2000,24000,38873,10000,82000,6.6
150,59,531,764,82,11000,6.3
0,691,3000,5401,961,0,6.1
0,581,662,2333,599,8000,7.1
0,591,12000,24598,11000,0,5.5
282,687,21000,33433,11000,0,7.5
179,10000,21000,53413,11000,0,7.6
532,979,10000,21584,9000,0,6.4
508,558,10000,13076,1000,11000,7.2
13000,588,40000,57844,16000,0,6.7
663,954,1000,4764,1000,10000,8
22000,11000,23000,59558,14000,15000,8.3
35,436,1000,3285,851,0,6.7
189,1000,49000,54039,3000,2000,5.9
151,2000,20000,40054,16000,0,6.7
0,233,309,1062,269,0,6.7
69,490,1000,2582,523,58000,7.6
0,30,234,534,198,0,7.2
230,12000,26000,59803,20000,63000,7.1
750,943,27000,40025,9000,191000,8.1
2000,294,15000,16948,745,0,6.7
0,12000,26000,60059,20000,63000,7
59,699,17000,20007,759,0,6.9
12,182,730,2217,607,0,5.1
473,502,14000,16184,897,19000,5.8
13000,16000,40000,80849,17000,82000,6.2
188,641,10000,21840,10000,47000,7.4
394,162,12000,13071,490,0,5.8
282,103,11000,21175,10000,29000,6.6
58,826,2000,6576,852,0,6.2
90,15,11000,21015,10000,20000,7.3
0,346,1000,2857,756,18000,4.2
14000,979,22000,34817,10000,0,6.9
776,256,17000,18204,551,33000,6.4
25,433,921,2652,562,0,5.4
42,586,20000,35161,14000,0,6.7
456,394,20000,21393,548,24000,5.8
50,517,3000,5810,1000,11000,6.9
249,844,11000,17944,5000,0,7.2
35,436,851,2444,770,17000,6.9
93,746,769,2538,766,0,6.1
176,322,783,2097,370,62000,5.5
0,537,13000,26029,12000,11000,6.6
188,826,10000,14823,3000,2000,6.1
0,964,18000,31523,12000,3000,6.3
5,967,24000,36095,11000,24000,7.2
663,690,10000,21768,10000,35000,7.4
52,161,20000,20645,315,25000,7.3
23,233,957,1997,550,2000,6.1
380,445,10000,11945,956,0,7.7
0,748,23000,26490,893,51000,6.1
14000,981,26000,39284,12000,19000,8
0,4000,24000,40484,11000,5000,7.3
255,953,18000,23378,3000,46000,7.9
295,284,18000,19769,934,24000,5.5
357,653,820,2705,780,0,5
0,413,986,2530,745,18000,7.7
503,91,5000,6171,808,0,6.6
0,258,820,1814,300,0,5.7
209,934,17000,31958,12000,42000,5.8
42,848,11000,13073,973,0,6
6,422,12000,15015,2000,0,6.4
394,2000,11000,19761,3000,46000,6.9
150,244,766,2037,536,2000,6.4
608,168,613,1205,172,0,7.4
386,12000,21000,59177,17000,65000,5.5
750,988,49000,62644,11000,0,5.9
255,882,3000,5811,1000,0,6.8
14000,358,535,1950,400,27000,6.8
0,733,29000,57108,27000,190000,8.1
13,463,16000,17416,881,13000,6.5
563,939,40000,43291,1000,26000,7.2
35,179,19000,19963,411,11000,6.7
521,883,13000,17369,897,0,8.1
54,562,11000,12754,967,6000,7.6
235,680,2000,5730,2000,61000,7.4
508,523,34000,49355,14000,82000,7.6
386,12000,21000,59177,17000,65000,5.5
12,183,17000,17883,523,26000,6.7
14000,807,10000,12758,1000,0,6.5
0,877,10000,12954,898,0,6.6
50,397,4000,5046,442,16000,6.7
176,282,11000,12406,702,23000,6.4
0,8000,12000,32355,9000,71000,5.8
14000,845,2000,4631,871,44000,7.4
0,10000,11000,33284,10000,11000,7.8
1000,165,309,921,284,0,6.6
0,894,10000,14168,943,37000,4.9
0,388,1000,2945,558,0,6.5
0,159,10000,11036,570,40,7.5
189,1000,49000,53587,3000,11000,6.2
96,8000,24000,46120,11000,13000,7.3
0,645,11000,13191,687,16000,7.5
124,1000,16000,31549,12000,20000,5.6
28,12,544,699,106,0,8.2
563,1000,40000,48184,5000,10000,8.1
0,1000,10000,14719,2000,25,6.4
508,14000,34000,81385,22000,52000,6.7
2000,362,15000,16008,574,0,6.6
107,56,688,1031,237,0,6.4
0,346,20000,20952,505,0,7.5
681,12000,23000,55345,14000,54000,7.3
0,154,21000,22403,979,39000,7.5
255,850,14000,18003,1000,15000,5.8
719,217,605,1441,308,0,7.5
323,241,845,1815,372,0,6.6
209,602,10000,12175,826,31000,6.7
541,409,920,2699,890,0,3.7
2000,636,1000,4146,722,0,6
776,812,15000,20553,2000,19000,6.4
610,653,10000,11930,794,0,6.1
249,461,784,2684,638,0,6.4
167,702,11000,15302,2000,0,5.6
0,341,774,2121,358,122000,8
160,402,12000,14017,701,0,5.2
521,265,13000,13752,365,31000,7.1
368,1000,2000,4046,1000,0,4.8
0,641,13000,24098,9000,97000,7
50,537,886,2682,799,459,5.4
662,1000,13000,17689,2000,61000,6.6
123,567,14000,17159,850,0,6.7
294,1000,10000,14161,2000,60000,6.2
0,87,690,902,107,0,6.1
274,157,273,993,216,0,5.3
446,877,10000,12731,973,11000,6.3
364,1000,11000,22004,10000,71000,7
0,4000,20000,44042,16000,10000,7.6
0,4000,20000,42990,16000,0,6.7
0,773,12000,15013,1000,0,8.1
446,929,20000,23755,992,68000,6.7
0,1000,20000,37723,14000,13000,6.5
16,12000,16000,43286,15000,28000,7.3
0,141,936,1609,276,291,5.1
610,617,12000,15046,836,0,6
19,9000,26000,46719,11000,16000,6.1
473,429,833,2690,809,62000,5.9
0,13,39,87,23,147000,7.8
79,268,650,1569,293,0,5.8
13,799,5000,8306,833,12000,6.3
128,78,596,1261,360,41000,4.3
189,1000,49000,55486,3000,3000,6.4
62,884,12000,16718,2000,52000,6.1
55,387,811,2958,766,0,6.5
776,1000,13000,19454,2000,4000,7.1
0,350,11000,19359,8000,0,6.4
218,322,11000,22722,11000,0,6.5
124,1000,14000,22622,5000,27000,6.3
17000,827,29000,34582,3000,0,7.5
11,116,480,1173,392,0,4.9
1000,741,11000,13391,1000,14000,5.8
263,1000,6000,10583,1000,71000,6.2
67,111,383,692,113,31000,5.5
6,421,12000,13607,513,304,5.4
124,943,6000,12452,5000,12000,5.8
189,544,20000,22254,929,36000,7.1
67,40,681,914,71,0,5.4
101,202,673,2027,368,894,3.7
151,430,11000,12908,635,123000,6.7
235,297,13000,13961,300,0,7.2
0,857,16000,22342,5000,21000,8.8
153,447,1000,3175,1000,0,5.8
0,780,10000,14196,851,0,6.8
34,434,760,2762,743,946,3.8
295,466,10000,12068,981,0,7.1
0,195,14000,19600,5000,0,7.2
50,692,979,3382,886,0,5.9
63,525,852,2480,578,5000,7.1
0,372,13000,14831,801,153000,8.1
0,3000,19000,34839,12000,0,6.9
23,591,752,3133,631,53,4.4
57,3000,12000,29069,11000,0,6.5
0,695,3000,6521,933,21000,8.5
14000,533,10000,12546,798,0,7.7
0,9000,11000,35672,10000,0,7.4
258,834,6000,9125,1000,0,8
13000,567,1000,2776,658,0,5.7
0,539,780,2829,604,13000,8.5
0,1000,40000,64599,23000,0,7
0,561,18000,20354,782,0,7.8
0,618,2000,4528,1000,0,7.2
12000,385,18000,19906,464,0,6.4
80,708,22000,24082,713,0,5.5
285,107,12000,20233,8000,16000,6.7
55,383,1000,3454,773,0,6.1
16000,265,29000,40978,11000,199000,8.5
21,542,2000,4842,700,0,6.9
10,253,558,2039,452,0,7.3
165,13000,26000,57881,13000,108000,6.7
226,341,12000,13679,625,0,6.9
14,203,3000,4487,762,0,5.1
0,279,925,1738,468,11000,6.8
456,394,20000,21393,548,24000,5.8
77,120,14000,14552,151,17000,6.7
207,3000,40000,55175,11000,25000,6
0,595,1000,3903,1000,2000,5.7
380,452,29000,33160,3000,14000,8
17000,4000,29000,46057,11000,138000,8.2
541,680,920,2880,710,0,5.4
719,423,660,2031,475,0,7.2
670,1000,15000,22686,5000,124000,7.5
0,577,2000,4286,653,16000,7
26,566,827,3144,825,0,3.3
420,467,12000,16235,3000,21000,6
63,720,23000,26940,770,0,7.1
52,526,8000,10552,735,0,5.4
385,11000,26000,52610,13000,56000,6.1
19,848,1000,3962,897,37000,5.3
6,227,490,1195,294,881,2.2
2000,571,26000,28328,911,27000,7
31,683,3000,6161,695,416,3.8
521,95,13000,13761,537,0,6.9
20,36,144,309,42,33000,7.2
342,393,623,1722,508,578,7.3
208,591,12000,15972,3000,0,6.3
17000,1000,29000,47657,14000,0,7.5
611,28,23000,23240,196,13000,7.6
9,970,12000,25590,11000,0,6.8
0,465,11000,13748,2000,0,5.2
0,557,2000,4270,820,10000,7.7
116,329,8000,9271,331,18000,6.2
0,10000,14000,39319,13000,18000,7.7
127,722,962,4555,740,0,4.3
10,442,2000,3372,919,0,6.9
20,916,22000,25354,1000,14000,6.6
0,502,2000,4671,520,56000,7
0,310,873,2370,560,16000,6.7
475,799,1000,5641,939,11000,8.2
0,416,5000,6434,857,16000,8.9
0,857,16000,23052,5000,10000,8.7
44,766,12000,17098,3000,16000,5.5
165,240,11000,12150,509,0,5.7
0,968,40000,54031,11000,37000,6.3
394,527,693,2574,595,0,5.9
81,779,11000,13118,1000,47000,7.6
70,330,770,1614,419,0,6.6
212,476,13000,15481,787,66000,5.3
102,877,2000,5780,973,701,6
663,55,1000,1901,723,0,8
212,810,1000,3611,903,1000,5.6
0,1000,8000,14024,3000,9000,5.9
188,602,10000,12998,826,0,7.3
487,967,15000,21275,1000,0,7.9
12000,1000,18000,25780,3000,18000,6.8
420,141,191,664,165,0,6.6
0,568,11000,12890,627,0,6.6
97,56,622,1227,526,0,7
107,117,835,1258,256,0,7
0,423,3000,5095,806,70000,7.3
368,466,13000,15419,1000,0,5.5
17000,1000,29000,45648,13000,29000,8.5
7,484,2000,4478,500,12000,7.5
0,918,21000,23484,1000,0,7
21000,585,18000,20388,1000,54000,7.8
323,489,13000,14274,559,0,7.6
0,727,21000,23996,979,20000,7.6
335,635,11000,13379,745,0,6.1
21,503,12000,15237,802,0,6.8
12,1000,35000,38450,1000,0,5
0,919,10000,14165,1000,0,7.1
221,503,11000,13446,600,0,5.5
0,1000,22000,35367,11000,39000,5.6
14000,681,3000,6217,882,11000,7.1
50,441,691,2622,569,988,4.9
0,135,11000,12289,1000,15000,7.4
719,423,833,2356,624,0,5.7
521,249,591,2100,249,0,6.4
87,918,8000,10882,956,28000,5.9
101,3000,18000,33154,11000,0,5.5
209,886,11000,23031,11000,15000,6.9
176,84,192,475,117,0,6.2
12000,307,11000,12499,577,0,7
0,281,3000,4902,933,0,5.6
107,350,11000,12071,560,19000,7
0,957,49000,55254,1000,0,6.8
81,612,3000,5062,643,2000,5.4
79,2000,11000,26088,11000,979,6.1
0,123,14000,15149,602,0,6.7
128,78,596,1261,360,41000,4.3
468,183,919,2024,691,0,6.9
2000,537,680,2523,655,0,8
96,554,887,2728,886,788,4.4
378,599,12000,13808,947,0,7.3
101,848,22000,26239,946,0,6.3
357,4000,23000,45327,14000,14000,6.7
0,272,15000,15838,410,23000,7.7
750,971,49000,70996,20000,0,6.5
521,129,13000,14161,805,0,7.8
249,936,11000,23603,10000,0,6.4
0,471,11000,13028,1000,0,7.8
545,5000,14000,27694,8000,19000,5.8
266,11000,12000,37142,11000,28000,7.1
36,118,283,662,142,0,7.1
79,820,18000,36237,16000,19000,6.8
36,439,2000,4182,795,372,4.8
420,535,2000,3768,906,0,6.2
278,213,14000,17423,3000,19000,6.9
12000,619,10000,11951,660,0,7.3
278,963,11000,15226,2000,0,6.6
0,11000,14000,43499,13000,0,6.9
28,624,4000,6081,650,863,6.2
168,1000,14000,22226,5000,49000,6.7
218,29,5000,5103,35,0,7.6
532,557,12000,16930,3000,0,6.7
323,330,670,2407,442,0,6.2
252,210,879,2380,691,0,7.3
681,159,584,1235,227,0,6
6,561,1000,2707,579,0,7.1
102,551,12000,23950,11000,10000,7.1
99,172,672,1460,174,941,5.5
189,87,813,1476,388,0,7.8
763,809,8000,11454,886,18000,5.6
1000,719,10000,12687,1000,36000,7.5
36,106,894,1439,345,0,5.4
88,571,611,2818,592,374,4.3
67,271,4000,6355,2000,0,4.9
38,20,409,578,107,46000,7.1
153,233,11000,12700,1000,7000,6.4
0,602,875,2662,826,0,6.9
62,615,975,3326,760,0,4.3
218,521,17000,21863,4000,0,6.1
0,160,3000,3632,169,3000,7
21000,495,21000,36928,15000,12000,7.7
55,956,3000,5839,975,0,5.9
293,1000,11000,21276,7000,0,6.7
13000,5000,26000,46355,13000,57000,6.5
0,898,10000,12760,1000,0,7.1
378,575,34000,49942,14000,140000,7.3
480,461,14000,16143,670,56000,6.5
13000,390,920,2899,811,0,7
12,925,13000,22813,7000,0,6.8
255,443,1000,3112,533,0,7.2
56,852,12000,23907,8000,0,6.4
75,3000,11000,22750,4000,0,6.1
23,110,13000,25220,12000,22000,6.7
88,421,11000,13693,437,0,6.4
31,733,1000,4073,1000,0,4.4
221,11000,12000,39269,11000,14000,5.4
88,11000,13000,44798,12000,0,6.5
278,343,18000,22679,4000,0,6.7
17000,163,29000,29585,223,53000,8.1
91,982,4000,9913,3000,0,5.6
77,208,1000,1804,311,0,6.3
610,805,12000,17087,1000,11000,7.3
163,495,11000,12831,869,0,6.1
0,818,15000,16828,1000,0,7.7
221,503,11000,16325,3000,19000,6.4
165,744,12000,15362,878,0,6.8
154,915,3000,5637,982,0,6.6
333,16000,22000,61110,20000,0,7.2
117,10000,18000,44797,15000,20000,6.9
10,159,49000,50005,570,0,5.2
101,913,14000,17786,960,0,4.9
30,366,13000,15001,967,0,6.3
189,38,1000,1267,177,0,5.6
301,71,18000,22194,4000,0,5.5
503,67,8000,8355,137,0,6.7
452,697,11000,20411,8000,82000,7.6
425,397,11000,12729,643,0,5.7
40,375,3000,4394,642,0,4.6
21,495,13000,14261,503,4000,7
153,269,3000,5392,1000,0,5.2
81,427,10000,12186,882,0,5.1
438,502,18000,20056,1000,0,6.6
69,87,898,1753,577,91,7
266,859,12000,26839,11000,16000,6.7
11,62,340,814,243,607,7.3
25,102,891,1919,639,3000,5.9
31,372,9000,10731,496,0,5.6
57,820,20000,25942,3000,0,6.5
258,163,2000,2864,277,951,5.9
25,129,49000,49631,448,32000,7
65,658,11000,25190,11000,0,5.3
0,871,13000,27114,13000,0,5.9
13000,733,20000,22590,770,0,6.3
92,8,23,54,21,257,6.4
93,904,12000,14831,1000,0,6.9
84,1000,13000,18132,1000,0,6.3
79,183,981,1825,274,0,7.3
357,366,13000,25126,10000,0,5.8
43,210,882,1971,396,0,5.2
64,41,743,971,117,0,2.4
287,695,3000,5593,739,665,5.7
252,30,529,619,48,0,5.8
503,982,23000,43887,18000,0,5.6
0,582,766,4346,674,0,6
750,231,1000,2521,971,964,5.8
42,612,14000,16922,788,21000,6
14,0,2,2,0,995,5.7
0,14,563,683,80,941,6
63,7,67,152,63,0,7.8
0,212,1000,1890,307,785,4.2
545,74,795,1099,172,20000,5.6
0,20,163,370,94,138,4.4
2000,535,1000,2827,592,29000,8.2
28,847,2000,6458,886,17000,8.5
62,722,14000,27842,12000,0,5.8
18,18,622,848,161,15000,6.5
420,876,22000,35867,12000,0,7.2
394,1000,24000,36925,10000,0,6.7
221,553,14000,27405,11000,0,3.4
309,771,23000,25296,787,0,5.9
54,6000,12000,30230,11000,31000,7.8
101,327,1000,2323,422,0,5.9
5,924,22000,28050,1000,413,4.1
11,745,1000,4782,904,36000,6.8
45,845,1000,4714,872,0,5.8
275,1000,7000,11905,2000,56000,7.5
776,933,10000,16785,2000,16000,6.9
14000,227,610,1635,506,0,6.5
35,179,851,1777,436,0,6.9
0,18,16000,16479,430,17000,7.9
0,505,20000,21397,764,0,7.4
335,988,11000,25763,11000,0,6.7
0,904,12000,15999,2000,51000,7.4
107,241,835,1815,590,0,6.9
88,328,11000,12952,427,11000,6.8
163,260,719,1673,339,0,6.7
212,394,613,1970,422,893,5.1
16,692,2000,5320,710,509,4.1
255,963,11000,13312,988,105000,7.3
221,4000,12000,28497,11000,12000,6
14000,232,15000,16199,466,16000,7.3
87,446,3000,5174,576,1000,5.4
258,748,867,3424,826,0,5.9
0,15000,22000,60646,15000,0,7.1
10,11000,22000,63165,17000,0,6
386,525,912,2856,549,0,6.5
473,680,12000,15889,1000,0,5.7
14000,412,745,2529,486,0,7.6
845,787,13000,16580,1000,0,6.6
126,925,19000,25206,1000,0,5.4
0,104,15000,15735,509,43000,7.3
274,138,11000,12522,964,0,6.5
27,925,12000,17299,970,0,6.6
272,193,13000,13934,450,0,6.6
109,249,919,1695,303,0,5.9
72,99,582,804,103,0,6.7
763,222,15000,16691,1000,30000,6.1
17,759,87000,103354,13000,0,6.6
383,886,13000,15857,1000,0,6.6
41,541,11000,14028,982,648,5.3
545,533,933,2542,722,0,6
10,394,3000,4368,552,0,6
253,637,3000,5580,889,683,4.7
212,568,2000,4397,845,1000,6.1
0,963,18000,33645,13000,0,7.2
22,1000,7000,13616,4000,70000,6.4
0,826,4000,7067,2000,42000,6.1
0,697,12000,15269,854,880,5.9
272,215,548,1044,270,0,6
6,415,22000,24350,1000,14000,6.3
72,715,11000,13827,1000,0,5.6
0,130,11000,11852,561,0,6.4
532,461,3000,5187,638,0,7.1
285,989,8000,12410,1000,0,6.6
41,574,1000,3287,692,266,4.6
0,403,906,1976,466,17000,8.4
0,210,15000,15850,383,0,7.1
30,433,745,3086,440,0,7.4
0,745,940,4310,826,0,6.9
212,462,13000,14780,658,886,4.5
218,8,21,55,17,2000,7.1
0,882,3000,7273,2000,0,6.5
84,595,1000,4166,1000,694,5.3
0,242,710,1675,529,0,6.7
80,48,692,1148,309,0,7.2
487,769,1000,4905,843,0,7.2
0,995,8000,12790,3000,0,5.5
357,212,14000,14790,223,10000,5.8
5,726,870,5217,861,16000,6
2000,808,960,3667,848,1000,6.6
16000,11000,13000,36741,11000,42000,8.3
14000,5000,49000,64259,8000,13000,6.7
420,467,12000,16235,3000,21000,6
212,576,13000,16595,982,0,7.1
69,1000,10000,14486,1000,0,6
488,509,10000,11458,834,0,6.9
0,559,3000,5609,579,0,5.6
545,727,886,3222,766,0,5.6
84,1000,1000,5227,1000,2000,4.5
130,841,4000,6181,973,5000,7.1
845,992,18000,31782,11000,45000,6.5
906,748,1000,6207,906,1000,6.4
473,464,833,4001,697,25000,5.8
13000,883,12000,16138,1000,26000,8
0,184,443,1439,277,0,6.2
14000,979,25000,46726,19000,28000,7.2
0,559,13000,27674,13000,34000,6.1
0,638,2000,4074,650,0,7.6
0,17,903,1579,592,13000,6.3
28,423,3000,5178,692,37000,6.3
380,774,18000,32563,13000,0,6.3
905,271,15000,16034,588,15000,7.7
218,400,11000,12226,691,0,7
2000,244,17000,18510,1000,0,5.3
541,384,12000,12993,405,792,5.6
43,452,12000,13517,585,0,5.2
84,150,989,1576,229,531,5.4
24,324,5000,5861,327,24000,6.4
163,66,394,712,217,33000,5.9
40,407,13000,15916,787,997,6.3
5,748,26000,49608,22000,17000,6.5
323,390,1000,2763,841,584,3
8,298,349,1846,324,391,3.6
13,695,11000,13628,893,815,5.8
101,443,2000,3734,509,2000,6.2
6,854,2000,6946,1000,5000,5.6
0,301,26000,28129,326,11000,5.4
14,582,11000,12871,1000,0,6.1
105,246,844,1899,729,764,4.2
101,585,13000,15708,1000,34000,6.7
212,182,576,1520,358,12000,4.2
31,497,11000,12556,655,0,6.4
171,10000,21000,52547,17000,29000,4.9
0,580,22000,32871,10000,0,6.8
275,975,7000,11608,2000,31000,7.7
29,97,584,1132,220,617,5.6
3000,3000,14000,30010,11000,30000,6.4
448,334,614,1829,451,29000,7.2
18,776,1000,3986,855,0,6
101,681,966,3393,919,10000,5.9
0,680,14000,18216,826,0,7.9
44,531,788,3524,562,12000,6.8
0,135,29000,29824,149,0,7.1
116,982,7000,10419,1000,0,5.9
335,911,3000,8281,3000,98000,5.9
36,232,537,1302,427,0,6.2
38,745,940,4230,826,0,7
4,112,14000,14625,394,0,5.4
14000,13000,15000,44998,14000,22000,8.6
76,464,3000,7081,3000,32000,6.5
278,912,2000,5838,955,0,6.4
77,835,1000,5437,939,3000,7.6
759,354,11000,12194,599,4000,5.5
14000,655,23000,25517,826,71000,7.4
0,99,18000,18563,145,25000,8.7
2000,552,15000,17171,968,5000,7.6
719,217,605,1441,308,0,7.5
54,775,901,5265,857,1000,5.5
0,11000,20000,46204,13000,144000,7.6
0,744,15000,17768,793,0,6.5
285,105,8000,11264,3000,0,6.9
258,94,12000,12396,174,0,6.7
480,490,21000,23018,561,25000,6.6
11000,465,769,2938,698,35000,7.2
16000,416,16000,17771,495,0,6.4
212,369,13000,15229,730,0,6.4
610,461,848,2913,517,0,6
226,577,13000,16452,718,0,6.1
0,625,12000,14421,1000,0,6
179,403,8000,12850,4000,0,6.4
119,174,600,1375,346,59000,6.4
0,521,10000,11424,580,10000,7.3
87,929,2000,4796,1000,16000,5.2
43,523,10000,11943,806,23000,6.6
368,520,27000,29808,1000,18000,6.3
687,957,16000,19764,1000,0,5.9
468,919,1000,3860,1000,0,6.4
0,210,509,1409,317,688,6.7
545,974,14000,17913,1000,32000,5.4
545,805,26000,28643,872,0,6.4
212,263,394,1531,380,4000,6.7
138,184,324,1013,192,892,6.2
4000,539,17000,32232,14000,0,6.1
21000,637,11000,13209,783,48000,8.8
368,383,11000,12088,529,0,7.1
36,554,13000,15944,773,0,5.7
0,506,975,3580,909,177,5
72,568,623,3165,593,15000,5.1
2000,25,268,450,85,0,6.9
38,1000,3000,7048,1000,0,4.8
436,6000,23000,49433,13000,32000,6.5
521,970,11000,16710,1000,295,5.1
175,221,963,2131,580,40000,7.1
670,16,177,253,27,26000,7.5
116,481,645,2725,522,0,6.2
42,668,12000,23365,9000,0,6.3
14000,191,967,2129,610,19000,8.1
759,812,2000,5708,925,0,6.6
176,672,11000,14178,913,0,6.9
10,7,21,58,18,0,6.1
322,723,979,6334,862,0,4.3
84,563,11000,14931,919,0,6.6
0,452,524,2668,517,0,6.8
12,645,3000,6658,966,0,3.8
11,867,11000,14536,904,0,5.9
16000,1000,46000,49912,1000,114000,7.9
8,970,8000,13232,1000,0,6.3
25,439,989,2558,664,0,5.5
0,447,18000,32360,13000,13000,7.7
116,708,22000,24938,713,0,6.3
64,664,2000,4811,899,11000,7.1
0,693,15000,17716,745,30000,8.5
12,311,419,1412,330,0,5.9
10,397,925,2252,729,912,5.8
21000,625,835,4348,812,146000,8.1
218,73,13000,13249,147,0,7.9
258,345,394,1784,387,0,7.2
165,475,577,2321,501,885,6.3
608,576,2000,3698,617,18000,8.1
59,145,770,1195,263,0,7
41,522,1000,4050,955,886,5.5
175,459,18000,20148,497,22000,6.7
6,405,3000,4171,664,0,5.2
473,82,26000,35084,9000,0,7
30,268,1000,2636,976,0,6.1
35,754,13000,25788,11000,0,6.6
0,721,4000,8172,722,0,5.5
12000,695,10000,14006,3000,0,5.9
163,2000,12000,20348,3000,781,5.4
47,240,988,2517,960,24000,6.4
708,745,11000,20440,8000,26000,5.7
420,627,12000,16646,3000,0,6.7
124,357,13000,24928,11000,32000,7.1
0,1000,14000,20761,2000,0,6.8
0,380,19000,20683,1000,0,6.5
0,680,10000,13581,851,0,7.6
55,416,12000,14611,1000,0,5.5
13,579,2000,4496,1000,0,6.5
188,1000,10000,16385,3000,38000,7
212,811,1000,3697,975,0,5.8
197,6,433,679,208,0,7.3
0,175,13000,13634,240,42000,6.6
18,226,658,1233,257,858,4.4
253,57,309,647,229,10000,7.7
0,751,11000,13654,946,6000,5
12000,451,18000,20454,992,14000,7.7
48,722,21000,24664,936,747,4.4
480,767,881,3943,869,0,6.1
32,626,854,4530,628,0,5.4
0,160,366,1112,334,0,6.8
234,521,3000,4713,552,1000,6.5
28,586,10000,13597,884,12000,7
